#{"t_start": 1632067269.8829644, "env_id": "UCAV-v0"}
r,l,t
-3.569717,506,5.428128
-3.536448,519,7.87773
-4.044211,295,9.102918
-4.013448,251,10.068253
--3.514133,305,11.226013
--3.575869,520,13.243966
-4-4.028298,212,14.10816
--4.021492,327,15.359514
--4.034991,297,16.540466
--4.027878,321,17.818815
--3.580559,477,19.71893-0.1-4.034825,308,20.98946
-4-4.1073,439,22.664457
-4.140797,553,23.721805
--4.039262,299,25.130475
-4-4.126351,493,26.690223
---4.104779,559,28.892421
-4-4.123754,440,30.546065
-4-4.125538,455,32.251861
-4-4.080854,364,33.620549
-4-4.04109,297,34.75544
0.967645,415,36.469617
-4.04583,289,37.634946
-4.009903,248,38.58497
-4.-0.203761,1001,41.835106
-3.540343,369,43.319912
-4.031783,242,44.272641
-3.541231,393,45.770471
-0.170878,1001,49.698282
-4.025433,261,50.712284
-4.020079,279,51.904822
-4.021137,305,53.140651
-4.015474,245,54.074911
-4.030675,250,55.058747
-4.04531,323,56.423147
-4.020939,270,57.52849
-4.014559,253,58.508871
-3.557029,501,60.602876
0.982341,370,62.154933
-4.03417,284,63.409889
-4.013444,247,64.450264
-4.025345,283,65.5385
-4.040235,332,66.814067
-4.018786,274,68.064538
-4.018714,279,69.153497
-4.033457,284,70.268358
-4.029793,250,71.230129
-4.029876,263,72.238691
-4.017334,263,73.252802
-3.549152,534,75.30671
-4.012944,273,76.356329
-3.55071,464,78.193244
-4.066928,315,79.388462
-4.08236,348,80.723234
-4.013464,262,81.739035
-4.025195,216,82.591001
-4.016725,263,83.696362
-4.03042,272,84.805921
1.004563,311,85.995176
-3.545327,509,88.131065
-3.554289,505,90.15585
-4.015429,261,91.320786
-4.026002,248,92.291268
-4.009453,244,93.232548
-3.552794,550,95.382526
-4.024869,280,96.441265
.536739,487,93.092387
-4.02810-4.023695,274,94.2-4.03661-4.032992,277,95.2-4.04555-4.092055,450,97.069322
452,272,96.638001

-4.033079,247,94.694087
-4-4.090441,419,96.026164
-4.076145,379,97.313668
-3.585472,565,97.867684
4
